epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,225.76,1.4327,1.28771,0.97246,0.71722,0.76299,0.78861,0.41258,1.65691,1.54826,1.05676,0.000283085,0.000283085,0.000283085
83,228.54,1.39994,1.42614,1.02824,0.71722,0.76299,0.78861,0.41258,1.65691,1.54826,1.05676,0.000268938,0.000268938,0.000268938
84,231.261,1.506,1.45566,0.93163,0.71722,0.76299,0.78861,0.41258,1.65691,1.54826,1.05676,0.000254791,0.000254791,0.000254791
85,234.027,1.44335,1.21712,0.93307,0.71722,0.76299,0.78861,0.41258,1.65691,1.54826,1.05676,0.000240644,0.000240644,0.000240644
86,236.842,1.42012,1.36501,1.00542,0.84857,0.77748,0.84967,0.44745,1.6532,1.49751,1.05052,0.000226497,0.000226497,0.000226497
87,239.559,1.52262,1.33359,0.93559,0.84857,0.77748,0.84967,0.44745,1.6532,1.49751,1.05052,0.000212349,0.000212349,0.000212349
88,242.282,1.41728,1.29926,0.96591,0.84857,0.77748,0.84967,0.44745,1.6532,1.49751,1.05052,0.000198202,0.000198202,0.000198202
89,244.966,1.484,1.32257,0.95366,0.84857,0.77748,0.84967,0.44745,1.6532,1.49751,1.05052,0.000184055,0.000184055,0.000184055
90,247.692,1.50983,1.32672,0.98216,0.8321,0.77726,0.86888,0.42399,1.67712,1.48287,1.05561,0.000169908,0.000169908,0.000169908
91,250.387,1.4246,1.45619,1.0145,0.8321,0.77726,0.86888,0.42399,1.67712,1.48287,1.05561,0.000155761,0.000155761,0.000155761
92,253.07,1.37155,1.36615,0.99461,0.8321,0.77726,0.86888,0.42399,1.67712,1.48287,1.05561,0.000141614,0.000141614,0.000141614
93,255.7,1.42246,1.75647,0.90059,0.8321,0.77726,0.86888,0.42399,1.67712,1.48287,1.05561,0.000127467,0.000127467,0.000127467
94,258.407,1.33549,1.35398,1.00668,0.88095,0.7602,0.86688,0.4296,1.6801,1.46653,1.05752,0.00011332,0.00011332,0.00011332
95,261.153,1.39318,1.39988,1.03221,0.88095,0.7602,0.86688,0.4296,1.6801,1.46653,1.05752,9.91726e-05,9.91726e-05,9.91726e-05
96,263.754,1.32666,1.34003,0.96798,0.88095,0.7602,0.86688,0.4296,1.6801,1.46653,1.05752,8.50255e-05,8.50255e-05,8.50255e-05
97,266.566,1.37293,1.47654,0.97951,0.88095,0.7602,0.86688,0.4296,1.6801,1.46653,1.05752,7.08784e-05,7.08784e-05,7.08784e-05
98,269.378,1.38555,1.36729,1.02274,0.83781,0.67002,0.85282,0.41599,1.68249,1.44787,1.06029,5.67313e-05,5.67313e-05,5.67313e-05
99,272.109,1.33118,1.44122,0.94332,0.83781,0.67002,0.85282,0.41599,1.68249,1.44787,1.06029,4.25842e-05,4.25842e-05,4.25842e-05
100,274.783,1.43024,1.40586,1.02552,0.83781,0.67002,0.85282,0.41599,1.68249,1.44787,1.06029,2.84371e-05,2.84371e-05,2.84371e-05
